Id_Cliente,Indicador_Status,Idade,Sexo,n_dependentes,nivel_educacao,estado_civil,renda,categoria_cartao,meses_contrato,n_produtos,limite_credito,total_transacoes
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,12691.0,42
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,8256.0,33
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,3418.0,20
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,3313.0,20
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,4716.0,28
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,4010.0,24
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,34516.0,31
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,29081.0,36
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,22352.0,24
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,11656.0,32
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,6748.0,42
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,9095.0,26
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,11751.0,17
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,8547.0,33
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2436.0,29
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,4234.0,27
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,30367.0,27
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,13535.0,21
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,3193.0,30
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,14470.0,21
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,20979.0,27
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,1438.3,16
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,4470.0,18
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,2492.0,23
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,12217.0,21
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,7768.0,22
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,14784.0,23
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,10215.0,40
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,10100.0,18
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,4785.0,38
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2753.0,25
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,2451.0,26
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,8923.0,24
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2650.0,28
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,12555.0,24
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,3520.0,43
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,3035.0,37
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,15433.0,22
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3672.0,28
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,7882.0,16
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,32426.0,28
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,6205.0,28
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,17304.0,33
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,3906.0,32
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,9830.0,23
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,34516.0,28
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2283.0,27
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2548.0,27
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,19458.0,27
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,4745.0,40
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,2622.0,30
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,1438.3,19
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,3171.0,38
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,19763.0,35
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,15769.0,15
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,3298.0,32
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2802.0,40
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,4458.0,29
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,6273.0,25
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3336.0,27
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,3436.0,33
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,34516.0,15
